sample;Temps;X;xp;Parafins;xo;Olefins;xa;Aromatics
P;1.75;95.7;1;30;1.31;60;1.61;10
P;3.85;84.09;;;;;;
P;5.883;65.6;;;;;;
P;7.983;47.7;;;;;;
P;9.993;29.33;;;;;;
P;12.0263;19.3;;;;;;
P;14.1263;12.9;;;;;;
A;2.7;99;4;36;4.31;50;4.61;14
A;6.77;99;;;;;;
A;10.83;95;;;;;;
A;14.97;90;;;;;;
A;19.1;80;;;;;;
A;23.22;71;;;;;;
A;27.37;55;;;;;;
A;30;46;;;;;;
A;34;30;;;;;;
A;36;20;;;;;;
B;2.16667;100;7;45;7.3;40;7.61;15
B;6.166;100;;;;;;
B;10.08;100;;;;;;
B;14.42;97;;;;;;
B;23;93;;;;;;
B;27;91.6;;;;;;
B;31.16;86;;;;;;
B;45.16;64;;;;;;
B;50.75;49;;;;;;
B;55;36;;;;;;
B;61.42;24;;;;;;
