Sourcefile												
Exporttime												
												
Start Time												
End Time												
												
			22 - CO2			44 - CO2			32 - O2			28 - CO
Time		Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
7/15/2020 02:49:59.856 	0	14191,161	1,83E-12	7/15/2020 02:50:00.200 	14191,272	3,25E-12	7/15/2020 02:50:00.434 	14191,506	1,18E-08	7/15/2020 02:50:00.769 	14191,841	1,08E-09
7/15/2020 02:50:00.992 	1,136	14192,297	1,86E-12	7/15/2020 02:50:01.336 	14192,408	3,31E-12	7/15/2020 02:50:01.564 	14192,635	1,18E-08	7/15/2020 02:50:01.897 	14192,969	1,08E-09
7/15/2020 02:50:02.120 	2,257	14193,418	1,87E-12	7/15/2020 02:50:02.458 	14193,53	3,28E-12	7/15/2020 02:50:02.689 	14193,761	1,18E-08	7/15/2020 02:50:03.024 	14194,096	1,08E-09
7/15/2020 02:50:03.247 	3,386	14194,547	1,97E-12	7/15/2020 02:50:03.586 	14194,658	3,37E-12	7/15/2020 02:50:03.815 	14194,886	1,18E-08	7/15/2020 02:50:04.150 	14195,221	1,08E-09
7/15/2020 02:50:04.371 	4,509	14195,67	1,99E-12	7/15/2020 02:50:04.711 	14195,782	3,20E-12	7/15/2020 02:50:04.944 	14196,016	1,18E-08	7/15/2020 02:50:05.278 	14196,349	1,08E-09
7/15/2020 02:50:05.500 	5,641	14196,802	1,91E-12	7/15/2020 02:50:05.841 	14196,913	3,31E-12	7/15/2020 02:50:06.078 	14197,149	1,18E-08	7/15/2020 02:50:06.412 	14197,483	1,08E-09
7/15/2020 02:50:06.633 	6,771	14197,932	1,91E-12	7/15/2020 02:50:06.972 	14198,043	3,26E-12	7/15/2020 02:50:07.203 	14198,275	1,18E-08	7/15/2020 02:50:07.536 	14198,608	1,08E-09
7/15/2020 02:50:07.759 	7,896	14199,057	1,90E-12	7/15/2020 02:50:08.097 	14199,169	3,19E-12	7/15/2020 02:50:08.326 	14199,397	1,18E-08	7/15/2020 02:50:08.658 	14199,73	1,08E-09
7/15/2020 02:50:08.880 	9,018	14200,179	2,02E-12	7/15/2020 02:50:09.218 	14200,29	3,17E-12	7/15/2020 02:50:09.454 	14200,525	1,18E-08	7/15/2020 02:50:09.786 	14200,858	1,08E-09
7/15/2020 02:50:10.008 	10,155	14201,316	1,83E-12	7/15/2020 02:50:10.357 	14201,428	3,16E-12	7/15/2020 02:50:10.585 	14201,657	1,18E-08	7/15/2020 02:50:10.920 	14201,991	1,08E-09
7/15/2020 02:50:11.142 	11,274	14202,435	1,95E-12	7/15/2020 02:50:11.474 	14202,546	3,38E-12	7/15/2020 02:50:11.705 	14202,777	1,18E-08	7/15/2020 02:50:12.039 	14203,11	1,09E-09
7/15/2020 02:50:12.261 	12,398	14203,559	1,98E-12	7/15/2020 02:50:12.599 	14203,67	3,28E-12	7/15/2020 02:50:12.833 	14203,905	1,18E-08	7/15/2020 02:50:13.167 	14204,238	1,08E-09
7/15/2020 02:50:13.389 	13,527	14204,688	1,90E-12	7/15/2020 02:50:13.728 	14204,799	3,14E-12	7/15/2020 02:50:13.960 	14205,031	1,18E-08	7/15/2020 02:50:14.296 	14205,368	1,08E-09
7/15/2020 02:50:14.519 	14,656	14205,817	1,91E-12	7/15/2020 02:50:14.856 	14205,928	3,26E-12	7/15/2020 02:50:15.084 	14206,155	1,18E-08	7/15/2020 02:50:15.418 	14206,49	1,08E-09
7/15/2020 02:50:15.640 	15,777	14206,938	1,97E-12	7/15/2020 02:50:15.977 	14207,049	3,36E-12	7/15/2020 02:50:16.214 	14207,285	1,18E-08	7/15/2020 02:50:16.550 	14207,621	1,08E-09
7/15/2020 02:50:16.771 	16,918	14208,079	1,78E-12	7/15/2020 02:50:17.119 	14208,19	3,12E-12	7/15/2020 02:50:17.345 	14208,417	1,17E-08	7/15/2020 02:50:17.680 	14208,751	1,08E-09
7/15/2020 02:50:17.902 	18,034	14209,195	1,97E-12	7/15/2020 02:50:18.236 	14209,307	3,27E-12	7/15/2020 02:50:18.464 	14209,535	1,18E-08	7/15/2020 02:50:18.797 	14209,868	1,08E-09
7/15/2020 02:50:19.020 	19,162	14210,323	1,91E-12	7/15/2020 02:50:19.362 	14210,434	3,31E-12	7/15/2020 02:50:19.592 	14210,664	1,18E-08	7/15/2020 02:50:19.928 	14210,999	1,08E-09
7/15/2020 02:50:20.150 	20,287	14211,448	1,86E-12	7/15/2020 02:50:20.488 	14211,559	3,31E-12	7/15/2020 02:50:20.720 	14211,792	1,18E-08	7/15/2020 02:50:21.056 	14212,127	1,08E-09
7/15/2020 02:50:21.278 	21,41	14212,571	1,86E-12	7/15/2020 02:50:21.610 	14212,682	3,37E-12	7/15/2020 02:50:21.841 	14212,913	1,18E-08	7/15/2020 02:50:22.175 	14213,246	1,08E-09
