isotope,A  ,quadrupole,name        ,Z ,symbol,abundance,stability  ,gn        ,spin
38Ar   ,38 ,0         ,argon       ,18,Ar    ,0.0632   ,stable     ,0.0       ,0.0
87Rb   ,87 ,0.1335    ,rubidium    ,37,Rb    ,27.83    ,stable     ,1.83427   ,1.5
79Br   ,79 ,0.313     ,bromine     ,35,Br    ,50.69    ,stable     ,1.404266  ,1.5
189Os  ,189,0.856     ,osmium      ,76,Os    ,16.15    ,stable     ,0.488     ,1.5
153Eu  ,153,2.412     ,europium    ,63,Eu    ,52.19    ,stable     ,0.6134    ,2.5
50Cr   ,50 ,0         ,chromium    ,24,Cr    ,4.345    ,stable     ,0.0       ,0.0
64Zn   ,64 ,0         ,zinc        ,30,Zn    ,48.63    ,stable     ,0.0       ,0.0
190Os  ,190,0         ,osmium      ,76,Os    ,26.26    ,stable     ,0.0       ,0.0
21Ne   ,21 ,0.10155   ,neon        ,10,Ne    ,0.27     ,stable     ,-0.441197 ,1.5
104Ru  ,104,0         ,ruthenium   ,44,Ru    ,18.62    ,stable     ,0.0       ,0.0
173Lu  ,173,3.56      ,lutetium    ,71,Lu    ,0.0      ,radioactive,0.669     ,3.5
59Co   ,59 ,0.42      ,cobalt      ,27,Co    ,100.0    ,stable     ,1.318     ,3.5
98Mo   ,98 ,0         ,molybdenum  ,42,Mo    ,24.13    ,stable     ,0.0       ,0.0
50Ti   ,50 ,0         ,titanium    ,22,Ti    ,5.18     ,stable     ,0.0       ,0.0
207Pb  ,207,0         ,lead        ,82,Pb    ,22.1     ,stable     ,1.1748    ,0.5
70Ge   ,70 ,0         ,germanium   ,32,Ge    ,20.84    ,stable     ,0.0       ,0.0
84Sr   ,84 ,0         ,strontium   ,38,Sr    ,0.56     ,stable     ,0.0       ,0.0
32S    ,32 ,0         ,sulfur      ,16,S     ,94.93    ,stable     ,0.0       ,0.0
90Zr   ,90 ,0         ,zirconium   ,40,Zr    ,51.45    ,stable     ,0.0       ,0.0
23Na   ,23 ,0.104     ,sodium      ,11,Na    ,100.0    ,stable     ,1.478391  ,1.5
79Se   ,79 ,0.8       ,selenium    ,34,Se    ,0.0      ,radioactive,-0.2908   ,3.5
113Cd  ,113,0         ,cadmium     ,48,Cd    ,12.22    ,stable     ,-1.2454   ,0.5
53Mn   ,53 ,nan       ,manganese   ,25,Mn    ,0.0      ,radioactive,1.435     ,3.5
164Er  ,164,0         ,erbium      ,68,Er    ,1.61     ,stable     ,0.0       ,0.0
130Xe  ,130,0         ,xenon       ,54,Xe    ,4.08     ,stable     ,0.0       ,0.0
154Gd  ,154,0         ,gadolinium  ,64,Gd    ,2.18     ,stable     ,0.0       ,0.0
167Er  ,167,3.565     ,erbium      ,68,Er    ,22.93    ,stable     ,-0.1618   ,3.5
108Pd  ,108,0         ,palladium   ,46,Pd    ,26.46    ,stable     ,0.0       ,0.0
130Ba  ,130,0         ,barium      ,56,Ba    ,0.106    ,stable     ,0.0       ,0.0
150Nd  ,150,0         ,neodymium   ,60,Nd    ,5.6      ,stable     ,0.0       ,0.0
76Ge   ,76 ,0         ,germanium   ,32,Ge    ,7.61     ,stable     ,0.0       ,0.0
97Mo   ,97 ,0.255     ,molybdenum  ,42,Mo    ,9.55     ,stable     ,-0.3734   ,2.5
48Ti   ,48 ,0         ,titanium    ,22,Ti    ,73.72    ,stable     ,0.0       ,0.0
